Nome;Categoria;Prezzo;Peso;Kcal;Carboidrati;Zuccheri;Grassi;Fibre;Proteine
Carrefour BioMazzancolle tropicali bio cotte e sgusciate;pesce;€ 3,99;100.0 g;362 kJ/85 kcal;0 g;0 g;0,6 g;N/D;20,0 g
CarrefourMazzancolle tropicali con coda cotte e sgusciate 125 g Carrefour il Mercato;pesce;€ 5,90;125.0 g;342 kJ/82 kcal;0 g;0 g;0,6 g;N/D;18,5 g
Bernardini GastoneTonno Affumicato;pesce;€ 4,90;100.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Bernardini GastonePesce Spada Affumicato;pesce;€ 5,90;100.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Bernardini GastoneTartare di Pesce Spada Marinato;pesce;€ 5,99;100.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Bernardini GastoneSaku Tonno Marinato;pesce;€ 8,99;140.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Capitan FindusCapitan Findus 2 Fiori di Salmone 200 g;pesce;€ 8,99;200.0 g;821 kJ / 197 kcal;0 g;0 g;13 g;0 g;20 g
Capitan FindusCapitan Findus 2 Fiori di Orata 200 g;pesce;€ 8,99;200.0 g;713 kJ / 171 kcal;0 g;0 g;11 g;0 g;18 g
Capitan FindusCapitan Findus 2 Croccole con 100% Filetti di Merluzzo - Le originali 216 g;pesce;€ 3,99;216.0 g;863 kJ / 205 kcal;23 g;0,7 g;7,5 g;0,9 g;11 g
Capitan FindusCapitan Findus 2 Fiori di Branzino 200 g;pesce;€ 8,99;200.0 g;632 kJ / 151 kcal;0 g;0 g;8,8 g;0 g;18 g
Pole StarPole Star Salmone Affumicato 200 g;pesce;€ 8,50;200.0 g;730 kJ/175 kcal;0,2 g;0,1 g;10,0 g;N/D;21,0 g
SimplSimpl Salmone Norvegese affumicato 200 g;pesce;€ 5,39;200.0 g;182 kcal;0 g;0 g;11 g;N/D;20 g
Molluschi e CrostaceiCarrefour Mazzancolle Cotte 80/100;pesce;€ 4,47;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Capitan FindusCapitan Findus 2 Croccole agli Spinaci con 100% Filetti di Merluzzo 200 g;pesce;€ 3,99;200.0 g;966 kJ / 231 kcal;16 g;1,5 g;13 g;1,1 g;12 g
CarrefourCarrefour Classic Filetti di Salmone Norvegese Surgelati 2 x 125 g;pesce;€ 6,99;250.0 g;246 kcal;0 g;0 g;19 g;N/D;19 g
Capitan FindusCapitan Findus 2 Croccole ai Semi con 100% Filetti di Merluzzo 200 g;pesce;€ 3,99;200.0 g;839 kJ / 200 kcal;20 g;<0,5 g;7,6 g;1,7 g;12 g
CarrefourCarrefour Extra Burger di Salmone Surgelati con limone e aneto 2 x 80 g;pesce;€ 3,49;160.0 g;255 kcal;11 g;0,9 g;830 mg;0,6 g;16 g
KV NordicKV Nordic Salmone Norvegese Affumicato 50 g;pesce;€ 4,59;50.0 g;681 kJ / 163 kcal;0 g;0 g;8,3 g*;N/D;22 g
Capitan FindusCapitan Findus 5 Croccole con 100% Filetti di Merluzzo - Le originali 540 g;pesce;€ 4,75;540.0 g;863 kJ / 205 kcal;23 g;0,7 g;7,5 g;0,9 g;11 g
CarrefourCarrefour Classic Pasta di Acciughe in Olio di Semi di Girasole 60 g;pesce;€ 1,65;60.0 g;214 kcal;0 g;0 g;16 g;N/D;18 g
Rio mareRio mare Patè Tonno 100 g;pesce;€ 2,75;100.0 g;982 kJ / 237 kcal;4,0 g;0,1 g;18 g;N/D;13 g
StarlaksSalmone Argentato Patagonia 100 gr;pesce;€ 5,90;100.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Capitan FindusCapitan Findus Filetti di Platessa 250 g;pesce;€ 7,29;250.0 g;281 kJ / 66 kcal;0 g;0 g;0,7 g;0 g;15 g
PanaPescaPanaPesca Filetti di Branzino surgelati 360 g;pesce;€ 9,99;360.0 g;485 kJ / 116 kcal;0 g;0 g;5,3 g;N/D;17 g
PesceTotano;pesce;€ 4,76;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourPolpette speziate con baccalà Carrefour il Mercato;pesce;€ 3,00;200.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour SelectionCarrefour Selection Lingotto di Salmone Norvegese Affumicato 100 g;pesce;€ 4,99;100.0 g;170 kcal;0 g;0 g;8,7 g;N/D;23 g
Fattorie OsellaFattorie Osella Robiola Osella 2 x 100 g;salumi e formaggi;€ 2,99;200.0 g;1349 kJ / 327 kcal;3,1 g;1,5 g;32 g;N/D;6,4 g
Pierre Jacquin & FilsTronchetto di capra fresco avvolto con aglio ed erbe fini;salumi e formaggi;€ 2,89;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
Cesti NataliziCesto Pranzo delle Feste - 6 Prodotti;salumi e formaggi;€ 18,90;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
SoredaSoreda Boules Truffles Fromage de Chèvre aux Truffes 9 x 10 g;salumi e formaggi;€ 5,29;1.0 pz;1127 kJ / 272 kcal;3,5;1,2;22,5;N/D;13,8
Beppino OccelliBox Formaggio e Birra;salumi e formaggi;€ 19,90;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Mozzarella 3 x 100 g;salumi e formaggi;€ 1,89;300.0 g;214 kcal;0,6 g;<0,5 g;16 g;N/D;17 g
Banco Salumeria CarrefourProsciutto cotto Granbiscotto da banco;salumi e formaggi;€ 2,49;100.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaTerre d'Italia Mozzarella di bufala campana DOP in bocconcini 250 g;salumi e formaggi;€ 4,90;N/D;242 kcal;1,1 g;<0,5 g;21 g;N/D;13 g
CarrefourCarrefour il Mercato Fesa di Tacchino 65 g;salumi e formaggi;€ 2,49;65.0 g;394 kJ/ 93 kcal;4,6 g;4,6 g;0,9 g;N/D;17 g
L'Atelier d'HervéL'Atelier d'Hervé Mini-Brie Pesto Rosso 135 g;salumi e formaggi;€ 3,99;N/D;1379 kJ / 333 kcal;1,0 g;<0,5 g;29 g;N/D;17 g
Cesti NataliziCestino dell'Amicizia - 6 Prodotti;salumi e formaggi;€ 19,99;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Banco Formaggi CarrefourAsiago DOP fresco da banco;salumi e formaggi;€ 3,96;400.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
Banco Formaggi CarrefourGrana Padano DOP 20 mesi;salumi e formaggi;€ 12,95;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
FerrariFerrari Grana Padano DOP Riserva Oltre 20 Mesi 600g con Mieli;salumi e formaggi;€ 21,50;1.0 pz;1370 kJ/322 kcal;80 g;80 g;0 g;N/D;0 g
FerrariFerrari Parmigiano Reggiano Prodotto di Montagna Oltre 40 Mesi 250g - Crema Fondentissima Lindt 200g;salumi e formaggi;€ 17,80;1.0 pz;2225 kJ / 536 kcal;37 g;32 g;37 g;N/D;8,7 g
Cesti NataliziCesto Re Tartufo - 6 Prodotti;salumi e formaggi;€ 34,90;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour SelectionCarrefour Selection lo Speck 120 g;salumi e formaggi;€ 3,99;120.0 g;1111kJ/266kcal;0,5g;0,5g;16g;N/D;30g
CarrefourCarrefour il Mercato Speck 60 g;salumi e formaggi;€ 2,49;60.0 g;1206 kJ/ 290 kcal;<0,5 g;<0,5 g;20 g;N/D;30 g
Terre d'ItaliaTerre d'Italia Mascarpone 250 g;salumi e formaggi;€ 2,89;N/D;2083kJ (506kcal);3,0g;3,0g;54g;N/D;2,0g
Terre d'ItaliaTerre d'Italia Squacquerone di Romagna DOP 280 g;salumi e formaggi;€ 4,19;N/D;233 kcal;1,5 g;1,5 g;19 g;N/D;14 g
Cesti NataliziCappelliera di Natale - 9 Prodotti;salumi e formaggi;€ 44,90;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
Fattorie FiandinoCesto Il Burro 1889;salumi e formaggi;€ 6,90;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourPetto di pollo italiano affettato da banco;salumi e formaggi;€ 1,99;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaTerre d'Italia Prosciutto di Norcia IGP da banco;salumi e formaggi;€ 3,29;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourMortadella Favola da banco;salumi e formaggi;€ 1,99;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaProsciutto Crudo di Parma DOP 24 mesi Terre d'Italia;salumi e formaggi;€ 3,89;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourPancetta Coppata da banco;salumi e formaggi;€ 2,25;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourProsciutto Cotto Magnifico Parmacotto da banco;salumi e formaggi;€ 2,65;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourProsciutto crudo nazionale da banco;salumi e formaggi;€ 2,59;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourFesa di Tacchino da banco;salumi e formaggi;€ 2,15;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourProsciutto cotto Careuccio  Motta da banco;salumi e formaggi;€ 0,99;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaMortadella con pistacchio da banco;salumi e formaggi;€ 1,69;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourSalame Milano Volpi da banco;salumi e formaggi;€ 1,99;100.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourBresaola della Valtellina IGP del Zoppo da banco;salumi e formaggi;€ 3,89;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourConfezione Famiglia Prosciutto Cotto Alta Qualità Carrefour da banco;salumi e formaggi;€ 1,79;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourPetto di Tacchino da banco;salumi e formaggi;€ 2,89;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
SabelliSabelli Stracciatella di burrata 250 g;salumi e formaggi;€ 3,59;250.0 g;993 kJ - 240 kcal;1,4 g;1,4 g;22 g;N/D;9,1 g
Carrefour SelectionCarrefour Selection il Prosciutto Cotto Alta Qualità Nazionale 120 g;salumi e formaggi;€ 4,99;120.0 g;621kJ/148kcal;0,5g;0,5g;6,9g;N/D;21g
Banco Salumeria CarrefourPorchetta arrosto da banco;salumi e formaggi;€ 2,39;100.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaProsciutto Toscano DOP  Terre d'Italia da banco;salumi e formaggi;€ 3,49;N/D;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Salame Milano 60 g;salumi e formaggi;€ 1,99;60.0 g;1318 kJ/ 317 kcal;<0,5 g;<0,5 g;24 g;N/D;25 g
Carrefour SelectionCarrefour Selection il Prosciutto Crudo 24 Mesi 110 g;salumi e formaggi;€ 6,99;110.0 g;1115kJ/268kcal;<0,5g;<0,5g;18g;N/D;26g
Carrefour SelectionCarrefour Selection la Mortadella 120 g;salumi e formaggi;€ 3,49;120.0 g;1187kJ/287kcal;<0,5g;<0,5g;25g;N/D;15g
CarrefourCarrefour il Mercato Mortadella Bologna IGP 65 g;salumi e formaggi;€ 1,99;65.0 g;1186kJ/286kcal;0,7g;0,7g;24g;N/D;17g
CarrefourCarrefour il Mercato Prosciutto Cotto di alta qualità 60 g;salumi e formaggi;€ 2,49;60.0 g;568 kJ/ 135 kcal;0,6 g;< 0,5 g;5,3 g;N/D;21 g
"CarrefourCarrefour il Mercato Salame ""il Cru"" 60 g";salumi e formaggi;€ 1,99;60.0 g;1484 kJ/ 357 kcal;<0,5 g;<0,5 g;26 g;N/D;30 g
Carrefour SelectionCarrefour Selection il Culatello 100 g;salumi e formaggi;€ 7,50;100.0 g;1149kJ/276kcal;<0,5g;<0,5g;18g;N/D;28g
Banco Salumeria CarrefourSalame Strolghino Nazionale;salumi e formaggi;€ 6,63;0.25 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco Salumeria CarrefourSalame Ungherese alta gamma Raspini da banco;salumi e formaggi;€ 2,35;100.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour Il MercatoSalame Milano Il Mercato Take Away 110 g;salumi e formaggi;€ 2,99;110.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Banco salumeria CarrefourProsciutto Cotto Sant’Angelo Pasini da banco;salumi e formaggi;€ 3,29;0.10 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaSalame Felino IGP Terre d'Italia da banco;salumi e formaggi;€ 23,60;N/D;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Prosciutto Crudo 60 g;salumi e formaggi;€ 2,49;60.0 g;983 kJ/ 235 kcal;<0,5 g;<0,5 g;12 g;N/D;30 g
CarrefourCarrefour il Mercato Pancetta Stagionata 55 g;salumi e formaggi;€ 2,49;55.0 g;1979 kJ/ 479 kcal;<0,5 g;<0,5 g;45 g;N/D;18 g
Carrefour SelectionCarrefour Selection il Guanciale 80 g;salumi e formaggi;€ 3,49;80.0 g;2792kJ/678kcal;0,9g;<0,5g;70g;N/D;11g
Banco Formaggi CarrefourProvolone piccante;salumi e formaggi;€ 5,37;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco formaggi CarrefourScamorza bianca Sabelli da banco;salumi e formaggi;€ 4,13;0.25 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco FormaggiProvola Affumicata;salumi e formaggi;€ 11,90;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourProvolone classico;salumi e formaggi;€ 6,15;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco FormaggiProvola Bianca;salumi e formaggi;€ 11,90;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco formaggi CarrefourCaciocavallo affumicato Cordisco da banco;salumi e formaggi;€ 5,55;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco formaggi CarrefourCaciotta al peperoncino rosso da banco;salumi e formaggi;€ 5,07;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourGrana Padano DOP 16 mesi pretagliato;salumi e formaggi;€ 11,25;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourParmigiano Reggiano di montagna DOP 24 mesi Filiera Qualità Carrefour;salumi e formaggi;€ 25,50;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaTerre d'Italia Parmigiano Reggiano DOP oltre 40 mesi;salumi e formaggi;€ 14,80;N/D;402 kcal;0 g;0 g;30 g;N/D;32 g
Terre d'ItaliaGorgonzola DOP piccante;salumi e formaggi;€ 3,78;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Banco FormaggiMontasio DOP Fresco da Banco;salumi e formaggi;€ 5,37;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaTerre d'Italia Gorgonzola DOP;salumi e formaggi;€ 5,37;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Banco Formaggi CarrefourGorgonzola Dolce DOP Sfizioso da banco;salumi e formaggi;€ 3,57;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaTerre d'Italia Raspadura di Lodi 0,100 kg;salumi e formaggi;€ 2,49;N/D;1597 kJ/384 kcal;0 g;0 g;28 g;N/D;33 g
Banco FormaggiLa Ricotta Salata;salumi e formaggi;€ 3,48;0.25 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaPecorino DOP maturo;salumi e formaggi;€ 9,00;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Banco formaggi CarrefourBrie Cantorel da banco;salumi e formaggi;€ 3,98;0.25 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaPecorino DOP dolce;salumi e formaggi;€ 8,20;N/D;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourPecorino Romano DOP;salumi e formaggi;€ 7,47;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco Formaggi CarrefourDolcetto gorgonzola e mascarpone Igor da banco;salumi e formaggi;€ 6,47;0.35 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco formaggi CarrefourPecorino Perla Nera da banco;salumi e formaggi;€ 8,57;0.35 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaTerre d'Italia Mozzarella di bufala campana DOP 1040 g;salumi e formaggi;€ 8,90;N/D;242 kcal;1,1 g;<0,5 g;21 g;N/D;13 g
Terre d'ItaliaTerre d'Italia Pecorino Toscano DOP stagionato;salumi e formaggi;€ 9,80;N/D;489kcal;<0,5g;<0,5g;41,00g;N/D;30,00g
Terre d'ItaliaTerre d'Italia Pecorino Toscano DOP;salumi e formaggi;€ 8,20;N/D;415kcal;<0,5g;<0,5g;35,00g;N/D;25,00g
Banco Formaggi CarrefourFeta AOP a fette da banco;salumi e formaggi;€ 3,38;0.20 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco Formaggi CarrefourEmmental Grand Pavois Entremont;salumi e formaggi;€ 5,37;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco formaggi CarrefourEmmenthal Francese President  da banco;salumi e formaggi;€ 3,45;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco Formaggi CarrefourEmmentaler DOP;salumi e formaggi;€ 7,52;0.35 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco Formaggi CarrefourLeerdammer da banco;salumi e formaggi;€ 7,00;400.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
Banco Formaggi CarrefourFontal Nazionale da banco;salumi e formaggi;€ 5,56;0.4 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Bresaola 60 g;salumi e formaggi;€ 3,99;60.0 g;706 kJ/ 167 kcal;<0,5 g;<0,5 g;2,9 g;N/D;35 g
CarrefourCarrefour il Mercato Bresaola 110 g;salumi e formaggi;€ 5,99;110.0 g;158 kcal;<0,5 g;<0,5 g;3,0 g;N/D;33 g
FormaggioPrimo sale;salumi e formaggi;€ 4,77;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Mozzarella 3 x 125 g;salumi e formaggi;€ 3,19;375.0 g;247 kcal;1,0 g;1,0 g;19 g;N/D;18 g
SimplSimpl Parmigiano Reggiano DOP Grattugiato 100 g;salumi e formaggi;€ 1,99;100.0 g;402 kcal;0 g;0 g;30 g;N/D;32 g
SimplSimpl Grana Padano DOP Grattugiato 200 g;salumi e formaggi;€ 3,39;200.0 g;398 kcal;0 g;0 g;29 g;N/D;33 g
Terre d'ItaliaTerre d'Italia Parmigiano Reggiano DOP grattugiato Stagionatura Oltre 30 Mesi 60 g;salumi e formaggi;€ 2,09;N/D;403 kcal;0g;0g;30g;N/D;32g
CarrefourCarrefour Classic No Lactose!*  Mozzarella 125 g;salumi e formaggi;€ 1,25;125.0 g;214 kcal;0,6 g;<0,5 g;16 g;N/D;17 g
Terre d'ItaliaTerre d'Italia Grana Padano DOP Riserva Oltre 20 Mesi 250 g;salumi e formaggi;€ 5,89;N/D;1654 kJ/398 kcal;0 g;0 g;29 g;N/D;33 g
CarrefourCarrefour Grana Padano DOP 12 Mesi grattugiato 100 g;salumi e formaggi;€ 1,99;100.0 g;398 kcal;0 g;0 g;29 g;N/D;33 g
GalbaniGalbani Santa Lucia Tris Mozzarella 3 x 125 g;salumi e formaggi;€ 4,59;375.0 g;915 kJ / 220 kcal;2,0g;1,0g;16g;N/D;17g
Fratelli BerettaFratelli Beretta Fresca Salumeria Prosciutto Cotto di Alta Qualità 100 g;salumi e formaggi;€ 3,49;100.0 g;539kJ/128kcal;0,8g;0,5g;5,0g;N/D;20g
Nonno NanniNonno Nanni stracchino 100 g;salumi e formaggi;€ 1,39;100.0 g;1298 kJ / 314 kcal;2,6 g;1,6 g;27 g;N/D;14 g
ParmacottoParmacotto Prosciutto Cotto Alta Qualità 100 g;salumi e formaggi;€ 3,99;100.0 g;628 kJ / 150 Kcal;0,5 g;0,5 g;8 g;N/D;19 g
BiraghiBiraghi Gran Biraghi Formaggio Stagionato Grattugiato Fresco 100 g;salumi e formaggi;€ 1,59;100.0 g;1739 kJ / 418 kcal;0 g;0 g;30 g;0 g;37 g
AiaAia aeQuilibrium Petto di Tacchino 120 g;salumi e formaggi;€ 2,99;120.0 g;404kJ / 96kcal;2,5g;0,5g;1,5g;N/D;18g
CarrefourCarrefour Classic Prosciutto Cotto Alta Qualità 120 g;salumi e formaggi;€ 2,85;120.0 g;579kJ / 138kcal;1,0g;1,0g;6,0g;N/D;20g
ParmareggioParmareggio 8 Formaggini al Parmigiano Reggiano 140 g;salumi e formaggi;€ 1,85;140.0 g;922 kJ / 220 kcal;8,6 g;5,3 g;15 g;N/D;13 g
PhiladelphiaPhiladelphia Original Formaggio Fresco cremoso Vaschetta 250g;salumi e formaggi;€ 3,39;250.0 g;249 kcal;2,9 g;2,9 g;25 g;0,2 g;3,7 g
ParmareggioParmareggio Snack! Parmigiano Reggiano DOP 5 x 20 g;salumi e formaggi;€ 2,85;100.0 g;1671 kJ - 402 kcal;0 g;0 g;30 g;N/D;32 g
CitterioCitterio Sofficette Prosciutto Cotto di Alta Qualità 80 g;salumi e formaggi;€ 1,69;80.0 g;468kJ - 111kcal;1,0g;1,0g;3,0g;N/D;20g
SottiletteSottilette Classiche formaggio fuso a fette - 400g;salumi e formaggi;€ 3,59;400.0 g;224 kcal;4,5 g;4,5 g;14 g;3,0 g;17 g
PhiladelphiaPhiladelphia Original Formaggio Fresco cremoso Panetto 2x 80g;salumi e formaggi;€ 2,39;160.0 g;1053kJ/255kcal;2,7g;2,7g;25g;0,2g;5,3g
AiaAia aeQuilibrium Petto di Pollo 130 g;salumi e formaggi;€ 2,99;130.0 g;403kJ / 95kcal;3,9g;0g;1,3g;N/D;17g
Fattorie OsellaFattorie Osella Linea Osella Formaggio Fresco primosale ­190 g;salumi e formaggi;€ 2,20;190.0 g;916 kJ/221 kcal;3,2 g;2,6 g;17 g;N/D;13 g
ParmareggioParmareggio Parmigiano Reggiano Grattugiato Fresco 60 g;salumi e formaggi;€ 1,90;60.0 g;1671 kJ / 402 kcal;0 g;0 g;30 g;N/D;32 g
CarrefourCarrefour Classic Bresaola della Valtellina I.G.P. Punta d'Anca 80 g;salumi e formaggi;€ 3,39;N/D;682kJ/161kcal;0,5g;0,5g;2,7g;N/D;34g
PhiladelphiaPhiladelphia Original Formaggio Fresco cremoso Vaschetta 150g;salumi e formaggi;€ 1,99;150.0 g;249 kcal;2,9 g;2,9 g;25 g;0,2 g;3,7 g
Fratelli BerettaFratelli Beretta Pancetta Affumicata a cubetti 2 x 75 g;salumi e formaggi;€ 3,69;150.0 g;1462 kJ / 353 kcal;0,5g;0g;31g;N/D;18g
GalbaniGalbani Santa Lucia Ricotta 250 g;salumi e formaggi;€ 1,39;250.0 g;608 kJ / 146 kcal;6,0g;4,3g;10g;N/D;8,0g
AiaAia Wudy Classico 300 g;salumi e formaggi;€ 1,99;300.0 g;995 kJ / 240 kcal;0 g;0 g;20 g;N/D;15 g
CarrefourCarrefour Extra Parmigiano Reggiano 18 Mesi Minimo 100 g;salumi e formaggi;€ 2,35;100.0 g;402 kcal;N/D;N/D;30 g;N/D;32 g
GranaroloGranarolo Mozzarella Fresca 3 x 100 g;salumi e formaggi;€ 2,59;300.0 g;898 kJ / 216 kcal;1,0 g;1,0 g;16 g;N/D;17 g
Banco FormaggiGorgonzola DOP Dolce;salumi e formaggi;€ 2,74;0.25 kg;N/D;N/D;N/D;N/D;N/D;N/D
LeerdammerLeerdammer Original 150 g;salumi e formaggi;€ 2,65;150.0 g;1460 kJ / 352 kcal;< 0,1 g;< 0,1 g;27,5 g;N/D;26 g
CarrefourCarrefour Classic 2 Ricottine 2 x 100 g;salumi e formaggi;€ 1,09;200.0 g;N/D;N/D;N/D;N/D;N/D;N/D
FindusFindus Minestrone Tradizione - con Patate del Fucino IGP e Basilico Genovese DOP 1000 g;surgelati e gelati;€ 4,49;1000.0 g;38 kcal;6,3 g;2,2 g;<0,5 g;2,4 g;2,0 g
FindusFindus Minestrone Tradizione - con Patate del Fucino IGP e Basilico Genovese DOP 400 g;surgelati e gelati;€ 2,39;400.0 g;38 kcal;6,3 g;2,2 g;<0,5 g;2,4 g;2,0 g
FindusFindus Minestrone Tradizione Leggero con Basilico Genovese DOP 700 g;surgelati e gelati;€ 3,99;700.0 g;21 kcal;3,0 g;2,4 g;<0,5 g;1,7 g;1,3 g
Capitan FindusCapitan Findus 5 Fiori Di Nasello 250 g;surgelati e gelati;€ 3,79;250.0 g;328 kJ / 78 kcal;0 g;0 g;1,5 g;0 g;16 g
FindusFindus Minestrone Tradizione 5 Minuti - con Patate del Fucino IGP e Basilico Genovese DOP 600 g;surgelati e gelati;€ 3,05;600.0 g;38 kcal;6,6 g;2,0 g;<0,5 g;2,2 g;1,9 g
;surgelati e gelati;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D
GARDEN GOURMETGARDEN GOURMET Nuggets di soia Vegetariani Surgelati 180 g;surgelati e gelati;€ 1,69;180.0 g;236 kcal;15,0 g;0,7 g;12,5 g;5,7 g;13,1 g
GARDEN GOURMETGARDEN GOURMET Spinaciosa Vegetariana Surgelata 180 g;surgelati e gelati;€ 1,69;180.0 g;227 kcal;18,1 g;1,8 g;11,6 g;3,7 g;11,0 g
GARDEN GOURMETGARDEN GOURMET I Mini Medaglioni di soia Vegetariani Surgelati 180 g;surgelati e gelati;€ 1,69;180.0 g;173 kcal;10,4 g;3,0 g;4,8 g;4,3 g;20,0 g
Capitan FindusCapitan Findus 5 Croccole con 100% Filetti di Merluzzo - Le originali 540 g;surgelati e gelati;€ 4,75;540.0 g;863 kJ / 205 kcal;23 g;0,7 g;7,5 g;0,9 g;11 g
PizzoliPizzoli PataSnella Patatine 1 Kg;surgelati e gelati;€ 2,15;1000.0 g;637 kJ/152 kcal;22 g;0,6 g;5,0 g;3,2 g;2,6 g
OrogelOrogel Il Benessere Virtù di Zuppa Leggerezza Verdure con Cereali Integrali Surgelati 500 g;surgelati e gelati;€ 1,99;500.0 g;38 kcal;4,9 g;1,2 g;0,9 g;1,5 g;1,7 g
OrogelOrogel Il Benessere Virtù di Zuppa Antichi Sapori con Legumi e Cereali Surgelati 500 g;surgelati e gelati;€ 1,99;500.0 g;69 kcal;10 g;1,1 g;1,2 g;3,1 g;2,9 g
Sofficini FindusSofficini Findus 4 Sofficini Formaggi Più Mozzarella 250 g;surgelati e gelati;€ 1,99;250.0 g;240 kcal;24 g;1,3 g;12 g;1,0 g;8,4 g
Sofficini FindusSofficini Findus 4 Sofficini Prosciutto Cotto Più Mozzarella 250 g;surgelati e gelati;€ 1,99;250.0 g;231 kcal;24 g;1,3 g;11 g;1,0 g;8,6 g
Sofficini FindusSofficini Findus 4 Sofficini Spinaci Più Mozzarella 250 g;surgelati e gelati;€ 1,99;250.0 g;241 kcal;22 g;0,9 g;13 g;1,2 g;8,5 g
Sofficini FindusSofficini Findus 4 Sofficini Pomodoro Più Mozzarella 250 g;surgelati e gelati;€ 1,99;250.0 g;228 kcal;25 g;2,1 g;11 g;1,2 g;6,7 g
cameocameo Speedy Pizza margherita 4 x 75 g;surgelati e gelati;€ 2,99;300.0 g;1147 kJ / 273 kcal;38 g;2,4 g;8,3 g;1,8 g;11 g
